pair,layer,layer_idx,frag_fwd,frag_bwd,delta,fwd_dir,bwd_dir
depth-rgb,layer_00,0,0.5187986898166237,0.1936876528144175,0.3251110370022062,rgb->depth|normals,depth->rgb|normals
depth-rgb,layer_01,1,0.4018494588803754,0.2233864511151172,0.17846300776525817,rgb->depth|normals,depth->rgb|normals
depth-rgb,layer_02,2,0.3660565633582197,0.1389990603429499,0.22705750301526978,rgb->depth|normals,depth->rgb|normals
depth-rgb,layer_03,3,0.3180666920690539,0.1358702888066233,0.1821964032624306,rgb->depth|normals,depth->rgb|normals
depth-rgb,layer_04,4,0.262452995480919,0.0896054749200945,0.17284752056082447,rgb->depth|normals,depth->rgb|normals
depth-rgb,layer_05,5,0.226244405897052,0.0707523545838824,0.1554920513131696,rgb->depth|normals,depth->rgb|normals
depth-rgb,layer_06,6,0.1878679570916371,0.0644572106856609,0.12341074640597618,rgb->depth|normals,depth->rgb|normals
depth-rgb,layer_07,7,0.1555389080204492,0.0638463856808126,0.0916925223396366,rgb->depth|normals,depth->rgb|normals
depth-rgb,layer_08,8,0.1421989013455456,0.0699208577756023,0.07227804356994331,rgb->depth|normals,depth->rgb|normals
depth-rgb,layer_09,9,0.1440959800356043,0.0667041921831399,0.07739178785246441,rgb->depth|normals,depth->rgb|normals
depth-rgb,layer_10,10,0.1203246039896385,0.0725558149463267,0.047768789043311805,rgb->depth|normals,depth->rgb|normals
depth-rgb,layer_11,11,0.1022237818595391,0.0702886315175795,0.03193515034195961,rgb->depth|normals,depth->rgb|normals
normals-rgb,layer_00,0,0.4522807396984583,0.1544961132733698,0.2977846264250885,rgb->normals|depth,normals->rgb|depth
normals-rgb,layer_01,1,0.3398184091760604,0.1278379079677298,0.21198050120833056,rgb->normals|depth,normals->rgb|depth
normals-rgb,layer_02,2,0.2867691346948233,0.1489866084551698,0.13778252623965348,rgb->normals|depth,normals->rgb|depth
normals-rgb,layer_03,3,0.225237891081021,0.1498495762859642,0.07538831479505678,rgb->normals|depth,normals->rgb|depth
normals-rgb,layer_04,4,0.1834200022662011,0.1251653234780143,0.0582546787881868,rgb->normals|depth,normals->rgb|depth
normals-rgb,layer_05,5,0.1669629662199018,0.1055855759828279,0.061377390237073906,rgb->normals|depth,normals->rgb|depth
normals-rgb,layer_06,6,0.1287422347433388,0.1121573374756698,0.016584897267668985,rgb->normals|depth,normals->rgb|depth
normals-rgb,layer_07,7,0.1077750012905515,0.108071202639205,-0.0002962013486535048,rgb->normals|depth,normals->rgb|depth
normals-rgb,layer_08,8,0.0871133897801967,0.1227092279752726,-0.035595838195075905,rgb->normals|depth,normals->rgb|depth
normals-rgb,layer_09,9,0.0877115914238244,0.1428276216114355,-0.055116030187611104,rgb->normals|depth,normals->rgb|depth
normals-rgb,layer_10,10,0.0695851282614304,0.1649926132311071,-0.09540748496967669,rgb->normals|depth,normals->rgb|depth
normals-rgb,layer_11,11,0.0656721922973354,0.184438703339954,-0.1187665110426186,rgb->normals|depth,normals->rgb|depth
depth-normals,layer_00,0,0.2285991258082969,0.2236394462878113,0.004959679520485594,depth->normals|rgb,normals->depth|rgb
depth-normals,layer_01,1,0.2834569831936145,0.1943550631695554,0.08910192002405912,depth->normals|rgb,normals->depth|rgb
depth-normals,layer_02,2,0.1992560004218858,0.2286454474032277,-0.02938944698134191,depth->normals|rgb,normals->depth|rgb
depth-normals,layer_03,3,0.2063525764253128,0.2489294469033726,-0.0425768704780598,depth->normals|rgb,normals->depth|rgb
depth-normals,layer_04,4,0.1427084877469034,0.2224298931272041,-0.0797214053803007,depth->normals|rgb,normals->depth|rgb
depth-normals,layer_05,5,0.1267574444128468,0.2002115611014078,-0.073454116688561,depth->normals|rgb,normals->depth|rgb
depth-normals,layer_06,6,0.1268378444527573,0.2226423505366416,-0.0958045060838843,depth->normals|rgb,normals->depth|rgb
depth-normals,layer_07,7,0.112343555875488,0.2072580109198248,-0.09491445504433679,depth->normals|rgb,normals->depth|rgb
depth-normals,layer_08,8,0.1117930901425809,0.2349292030357504,-0.1231361128931695,depth->normals|rgb,normals->depth|rgb
depth-normals,layer_09,9,0.1047453595342476,0.2664630721833986,-0.161717712649151,depth->normals|rgb,normals->depth|rgb
depth-normals,layer_10,10,0.1053117775375835,0.2819129896882743,-0.17660121215069077,depth->normals|rgb,normals->depth|rgb
depth-normals,layer_11,11,0.0967440570627471,0.2917936454204049,-0.19504958835765784,depth->normals|rgb,normals->depth|rgb
