pair,layer,layer_idx,frag_cka_mean,frag_cka_ci_lo,frag_cka_ci_hi,frag_cka_p_adj_min
depth-normals,layer_00,0,0.2261192860480541,0.09094679648465234,0.6703406676853783,0.0009990009990009
depth-normals,layer_01,1,0.23890602318158494,0.08670440527810999,1.1285930099827828,0.0009990009990009
depth-normals,layer_02,2,0.21395072391255676,0.0994125312033929,1.0236282646151047,0.0009990009990009
depth-normals,layer_03,3,0.2276410116643427,0.11605826103385711,1.372720977325702,0.0009990009990009
depth-normals,layer_04,4,0.18256919043705375,0.12341336756203924,1.3344009031825226,0.0009990009990009
depth-normals,layer_05,5,0.1634845027571273,0.12226726629330015,1.1279460493056788,0.0009990009990009
depth-normals,layer_06,6,0.17474009749469946,0.13862569359729487,1.2194629807732955,0.0009990009990009
depth-normals,layer_07,7,0.1598007833976564,0.14660872346036452,1.1272749665432165,0.0009990009990009
depth-normals,layer_08,8,0.17336114658916565,0.1684571572029589,1.091594807425574,0.0009990009990009
depth-normals,layer_09,9,0.18560421585882309,0.18794554247715195,1.0289677210402834,0.0009990009990009
depth-normals,layer_10,10,0.19361238361292887,0.1939616712654903,0.832308159347546,0.0009990009990009
depth-normals,layer_11,11,0.194268851241576,0.19334109260925092,0.7990587259576687,0.0009990009990009
depth-rgb,layer_00,0,0.3562431713155206,0.1270389018073087,0.6113718113355078,0.0009990009990009
depth-rgb,layer_01,1,0.3126179549977463,0.10641029350057155,0.8545942372545794,0.0009990009990009
depth-rgb,layer_02,2,0.2525278118505848,0.10633346674631991,0.6602376780316753,0.0009990009990009
depth-rgb,layer_03,3,0.22696849043783862,0.10456999402701214,0.7588967525914371,0.0009990009990009
depth-rgb,layer_04,4,0.17602923520050676,0.09756662261786975,0.7157397915842961,0.0009990009990009
depth-rgb,layer_05,5,0.1484983802404672,0.09531558753135375,0.49635502653420016,0.0009990009990009
depth-rgb,layer_06,6,0.12616258388864898,0.0885499136535166,0.6824774267982499,0.0009990009990009
depth-rgb,layer_07,7,0.1096926468506309,0.105118092890422,0.6164702745852577,0.0009990009990009
depth-rgb,layer_08,8,0.10605987956057394,0.13204300716457484,0.7793445739370584,0.0009990009990009
depth-rgb,layer_09,9,0.1054000861093721,0.1429483899634017,0.8053603670764016,0.0009990009990009
depth-rgb,layer_10,10,0.0964402094679826,0.1494080478904049,0.6816959373309048,0.0009990009990009
depth-rgb,layer_11,11,0.0862562066885593,0.15287955047986895,0.6718241972487085,0.0009990009990009
normals-rgb,layer_00,0,0.303388426485914,0.11279324569798915,0.6411123601370254,0.0009990009990009
normals-rgb,layer_01,1,0.2338281585718951,0.07875327580313331,0.6167827346184515,0.0009990009990009
normals-rgb,layer_02,2,0.21787787157499655,0.09383540967155954,0.5479754311758963,0.0009990009990009
normals-rgb,layer_03,3,0.18754373368349259,0.08993288674567275,0.5990664169126774,0.0009990009990009
normals-rgb,layer_04,4,0.1542926628721077,0.08729575531358055,0.6564643207250476,0.0009990009990009
normals-rgb,layer_05,5,0.13627427110136486,0.084405921290687,0.646678089369924,0.0009990009990009
normals-rgb,layer_06,6,0.1204497861095043,0.08272418983907265,0.6799521746496514,0.0009990009990009
normals-rgb,layer_07,7,0.10792310196487825,0.09088603235374895,0.5974739546817003,0.0009990009990009
normals-rgb,layer_08,8,0.10491130887773464,0.10633426672358565,0.7124792905414743,0.0009990009990009
normals-rgb,layer_09,9,0.11526960651762995,0.11929690959809515,0.8092156848334338,0.0009990009990009
normals-rgb,layer_10,10,0.11728887074626874,0.14102639133820916,0.6411187567649039,0.0009990009990009
normals-rgb,layer_11,11,0.1250554478186447,0.1477513776982709,0.617227809083012,0.0009990009990009
